Title：Population by single age ,,,,,,,,,,,,,
Search Year：2013~2023,,,,,,,,,,,,,
Source：National Development Council,,,,,,,,,,,,,
Population Projections for the R.O.C (Taiwan),,,,,,,,,,,,,
Table URL：https://pop-proj.ndc.gov.tw/main_en/Custom_Detail_Statistics_Search.aspx?n=175&_Query=a72e3e04-f1f9-4bf2-b143-6330a2939e81,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Variant,Gender,Age,Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons),Data value (persons)
Medium,Female,'69,76894,65751,72741,89072,100803,114625,122993,145665,141568,144480,149714
Medium,Female,'70,77584,75954,64966,71893,88058,99667,113414,121344,142597,139952,142431
Medium,Female,'71,75883,76500,74928,64134,70943,86978,98553,111770,118436,140777,137910
Medium,Female,'72,75465,74674,75343,73834,63178,69924,85861,96985,109003,116758,138326
Medium,Female,'73,74736,74163,73442,74064,72687,62180,68879,84335,94515,107184,114624
Medium,Female,'74,70548,73325,72723,72133,72735,71379,61101,67428,81886,92689,105302
Medium,Female,'75,64650,68968,71815,71262,70691,71373,70060,59732,65500,80276,90437
Medium,Female,'76,62503,63066,67370,70112,69618,69262,69869,68427,57881,63901,78115
Medium,Female,'77,57186,60725,61353,65606,68294,67820,67635,68187,66283,56372,62411
Medium,Female,'78,55118,55367,58875,59541,63746,66460,65979,65833,66001,64415,54760
Medium,Female,'79,50972,53168,53501,56883,57543,61651,64429,63891,63491,63770,62448
Medium,Female,'80,46046,48936,51115,51403,54760,55419,59555,62172,61385,61065,61812
Medium,Female,'81,42796,44013,46763,48858,49280,52452,53235,57235,59540,58837,59004
Medium,Female,'82,40441,40690,41933,44398,46513,47023,50013,50878,54555,56539,56582
Medium,Female,'83,36369,38149,38418,39489,42006,44149,44638,47542,48134,51468,54360
Medium,Female,'84,32417,34052,35764,35870,37051,39390,41536,42096,44638,45088,49336
Medium,Female,'85,28718,30158,31777,33161,33456,34538,36818,38931,39253,41329,42796
Medium,Female,'86,24694,26338,27718,29203,30522,30989,31929,34100,35978,36072,39425
Medium,Female,'87,21970,22451,24068,25296,26706,27839,28329,29364,31178,32601,33826
Medium,Female,'88,17941,19784,20185,21659,22852,24036,25240,25748,26555,27897,30543
Medium,Female,'89,14321,15901,17648,17909,19260,20444,21447,22748,22949,23432,25925
Medium,Female,'90,11745,12475,13895,15410,15639,16970,17918,18923,20063,19824,21587
Medium,Female,'91,9928,10110,10819,12042,13272,13613,14694,15661,16357,17030,18217
Medium,Female,'92,8055,8409,8599,9099,10179,11390,11625,12651,13316,13608,15498
Medium,Female,'93,5650,6718,7038,7115,7566,8526,9550,9862,10572,10758,12124
Medium,Female,'94,3948,4591,5502,5722,5809,6190,6959,7914,8010,8336,9655
Medium,Female,'95,2955,3190,3702,4355,4577,4692,4978,5650,6353,6251,7314
Medium,Female,'96,2239,2293,2514,2897,3379,3607,3717,3978,4368,4809,5415
Medium,Female,'97,1406,1719,1780,1923,2238,2584,2778,2926,3106,3190,3834
Medium,Female,'98,1021,1041,1288,1318,1419,1680,1930,2101,2216,2265,2671
Medium,Female,'99,772,749,777,915,973,1020,1238,1437,1530,1552,1753
Medium,Female,'100 +,1420,1543,1625,1664,1805,1932,2119,2365,2639,2704,2485
,,,,,,,,,,,,,
,,,,,,,,,,,,,
● The data before 1971 does not include Kinmen County and Lienchiang County.,,,,,,,,,,,,,
● The data from 2023 onwards is projected.,,,,,,,,,,,,,
"● The data for the highest age represents the total for that age and above. Due to adjustments made to the statistical classification of the highest age in 1971, 1975, and 1992, the Change from previous year"" and ""Change in percent from previous year"" for these connection points are not calculated.",,,,,,,,,,,,,
